row_number,project,authorship,backfill_years,min_pub_years,group_by_all,region,year,y_pop,country_iso_a2,in_y_flow_INT,out_y_flow_INT,in_y_flow_IN,out_y_flow_IN,net_y_flow_INT,abs_inout_INT,sum_inout_INT,net_y_flow_IN,abs_inout_IN,sum_inout_IN,nmr_IN,nmr_INT
11630,Subnational,Scopus,1,2,true,TR.63,2017.0,335,TR,4,0,28,27,4,4,4,1,1,55,2.985074626865672,11.940298507462687
11631,Subnational,Scopus,1,2,true,CM.08,2014.0,304,CM,4,6,8,5,-2,2,10,3,3,13,9.868421052631579,-6.578947368421052
11632,Subnational,Scopus,1,2,true,CZ.78,2006.0,2950,CZ,35,25,27,50,10,10,60,-23,23,77,-7.796610169491525,3.389830508474576
11633,Subnational,Scopus,1,2,true,PT.21,2008.0,320,PT,2,1,7,2,1,1,3,5,5,9,15.625,3.125
11634,Subnational,Scopus,1,2,true,BD.84,2013.0,359,BD,16,22,5,7,-6,6,38,-2,2,12,-5.571030640668524,-16.71309192200557
11635,Subnational,Scopus,1,2,true,RO.10,2002.0,1064,RO,23,40,14,7,-17,17,63,7,7,21,6.578947368421052,-15.977443609022556
11636,Subnational,Scopus,1,2,true,PL.77,2019.0,6261,PL,34,46,42,55,-12,12,80,-13,13,97,-2.0763456316882287,-1.9166267369429804
11637,Subnational,Scopus,1,2,true,PT.08,2020.0,231,PT,1,2,4,5,-1,1,3,-1,1,9,-4.329004329004329,-4.329004329004329
11638,Subnational,Scopus,1,2,true,NO.21,2007.0,2355,NO,51,46,18,26,5,5,97,-8,8,44,-3.397027600849257,2.1231422505307855
11639,Subnational,Scopus,1,2,true,FI.14,2018.0,23,FI,2,0,10,2,2,2,2,8,8,12,347.82608695652175,86.95652173913044
11640,Subnational,Scopus,1,2,true,NL.11,2010.0,10468,NL,312,310,254,209,2,2,622,45,45,463,4.298815437523882,0.19105846388995032
11641,Subnational,Scopus,1,2,true,PT.09,2017.0,638,PT,23,15,14,10,8,8,38,4,4,24,6.269592476489028,12.539184952978056
11642,Subnational,Scopus,1,2,true,NO.19,2006.0,25,NO,1,0,5,2,1,1,1,3,3,7,120.0,40.0
11643,Subnational,Scopus,1,2,true,KZ.12,2011.0,14,KZ,1,0,1,1,1,1,1,0,0,2,0.0,71.42857142857143
11644,Subnational,Scopus,1,2,true,GH.01,2012.0,862,GH,45,25,11,5,20,20,70,6,6,16,6.960556844547564,23.201856148491878
11645,Subnational,Scopus,1,2,true,AT.07,2000.0,1162,AT,45,66,11,39,-21,21,111,-28,28,50,-24.096385542168676,-18.072289156626507
11646,Subnational,Scopus,1,2,true,UG.W,2016.0,141,UG,7,3,4,1,4,4,10,3,3,5,21.27659574468085,28.368794326241133
11647,Subnational,Scopus,1,2,true,AE.06,2019.0,633,AE,47,18,6,8,29,29,65,-2,2,14,-3.1595576619273302,45.813586097946285
11648,Subnational,Scopus,1,2,true,AU.03,2001.0,154,AU,5,3,10,23,2,2,8,-13,13,33,-84.41558441558442,12.987012987012987
11649,Subnational,Scopus,1,2,true,CL.03,2006.0,143,CL,8,2,6,1,6,6,10,5,5,7,34.96503496503497,41.95804195804196
11650,Subnational,Scopus,1,2,true,VE.23,2011.0,539,VE,8,12,2,4,-4,4,20,-2,2,6,-3.7105751391465676,-7.421150278293135
11651,Subnational,Scopus,1,2,true,IE.C,2004.0,119,IE,5,3,5,9,2,2,8,-4,4,14,-33.61344537815126,16.80672268907563
11652,Subnational,Scopus,1,2,true,SI.C2,2016.0,4,SI,0,1,1,1,-1,1,1,0,0,2,0.0,-250.0
11653,Subnational,Scopus,1,2,true,HK.NTP,2010.0,185,HK,5,2,10,2,3,3,7,8,8,12,43.24324324324324,16.216216216216218
11654,Subnational,Scopus,1,2,true,KZ.05,2007.0,138,KZ,19,7,1,3,12,12,26,-2,2,4,-14.492753623188406,86.95652173913044
11655,Subnational,Scopus,1,2,true,RU.84,2010.0,282,RU,1,1,3,6,0,0,2,-3,3,9,-10.638297872340425,0.0
11656,Subnational,Scopus,1,2,true,BE.BRU,2013.0,7101,BE,359,286,97,107,73,73,645,-10,10,204,-1.408252358822701,10.280242219405718
11657,Subnational,Scopus,1,2,true,BG.51,2014.0,520,BG,5,5,7,9,0,0,10,-2,2,16,-3.8461538461538463,0.0
11658,Subnational,Scopus,1,2,true,EE.18,2015.0,2041,EE,26,58,15,15,-32,32,84,0,0,30,0.0,-15.67858892699657
11659,Subnational,Scopus,1,2,true,RU.49,2020.0,71,RU,0,0,2,3,0,0,0,-1,1,5,-14.084507042253522,0.0
11660,Subnational,Scopus,1,2,true,NL.16,2009.0,25,NL,0,0,4,1,0,0,0,3,3,5,120.0,0.0
11661,Subnational,Scopus,1,2,true,ID.34,2019.0,37,ID,0,0,2,1,0,0,0,1,1,3,27.027027027027028,0.0
11662,Subnational,Scopus,1,2,true,BG.50,1997.0,41,BG,0,0,1,3,0,0,0,-2,2,4,-48.78048780487805,0.0
11663,Subnational,Scopus,1,2,true,EG.01,2000.0,450,EG,14,12,4,0,2,2,26,4,4,4,8.88888888888889,4.444444444444445
11664,Subnational,Scopus,1,2,true,KE.23,2013.0,8,KE,2,0,2,0,2,2,2,2,2,2,250.0,250.0
11665,Subnational,Scopus,1,2,true,CZ.90,2000.0,21,CZ,1,1,5,0,0,0,2,5,5,5,238.0952380952381,0.0
11666,Subnational,Scopus,1,2,true,PR.025,2016.0,4,PR,0,1,1,0,-1,1,1,1,1,1,250.0,-250.0
11667,Subnational,Scopus,1,2,true,GA.03,2001.0,14,GA,3,2,1,0,1,1,5,1,1,1,71.42857142857143,71.42857142857143
11668,Subnational,Scopus,1,2,true,ID.41,2020.0,3,ID,0,0,1,0,0,0,0,1,1,1,333.3333333333333,0.0
