row_number,project,authorship,backfill_years,min_pub_years,group_by_all,region,year,y_pop,country_iso_a2,in_y_flow_INT,out_y_flow_INT,in_y_flow_IN,out_y_flow_IN,net_y_flow_INT,abs_inout_INT,sum_inout_INT,net_y_flow_IN,abs_inout_IN,sum_inout_IN,nmr_IN,nmr_INT
1,Subnational,Scopus,2,2,true,US.MD,1998.0,20606,US,521,364,995,1058,157,157,885,-63,63,2053,-3.057361933417451,7.619140056294283
2,Subnational,Scopus,2,2,true,US.WA,2016.0,21203,US,328,263,1024,917,65,65,591,107,107,1941,5.046455690232515,3.065603923973023
3,Subnational,Scopus,2,2,true,US.VA,2004.0,13731,US,178,131,746,664,47,47,309,82,82,1410,5.971888427645474,3.4229116597480154
4,Subnational,Scopus,2,2,true,JP.30,2003.0,780,JP,8,11,33,23,-3,3,19,10,10,56,12.820512820512821,-3.8461538461538463
5,Subnational,Scopus,2,2,true,CN.05,2006.0,9504,CN,55,57,98,221,-2,2,112,-123,123,319,-12.941919191919192,-0.21043771043771045
6,Subnational,Scopus,2,2,true,SE.22,2004.0,178,SE,4,2,2,2,2,2,6,0,0,4,0.0,11.235955056179776
7,Subnational,Scopus,2,2,true,TR.71,2014.0,1731,TR,5,6,60,79,-1,1,11,-19,19,139,-10.97631426920855,-0.5777007510109763
8,Subnational,Scopus,2,2,true,IR.37,2018.0,487,IR,7,2,43,15,5,5,9,28,28,58,57.49486652977413,10.26694045174538
9,Subnational,Scopus,2,2,true,TR.72,2016.0,31,TR,1,0,4,3,1,1,1,1,1,7,32.25806451612903,32.25806451612903
10,Subnational,Scopus,2,2,true,GR.ESYE12,2015.0,4893,GR,48,143,91,82,-95,95,191,9,9,173,1.8393623543838136,-19.41549151849581
11,Subnational,Scopus,2,2,true,IR.33,2008.0,1159,IR,13,12,35,25,1,1,25,10,10,60,8.628127696289905,0.8628127696289906
12,Subnational,Scopus,2,2,true,CH.SG,1998.0,187,CH,1,2,14,5,-1,1,3,9,9,19,48.1283422459893,-5.347593582887701
13,Subnational,Scopus,2,2,true,US.AZ,2002.0,7523,US,168,132,376,416,36,36,300,-40,40,792,-5.317027781470158,4.785325003323142
14,Subnational,Scopus,2,2,true,US.DE,2017.0,2815,US,42,36,194,164,6,6,78,30,30,358,10.657193605683837,2.1314387211367674
15,Subnational,Scopus,2,2,true,IT.16,2004.0,9416,IT,102,102,145,152,0,0,204,-7,7,297,-0.7434154630416313,0.0
16,Subnational,Scopus,2,2,true,IT.06,2018.0,3390,IT,64,102,63,99,-38,38,166,-36,36,162,-10.619469026548673,-11.2094395280236
17,Subnational,Scopus,2,2,true,US.AR,2010.0,2422,US,30,19,103,82,11,11,49,21,21,185,8.670520231213873,4.541701073492981
18,Subnational,Scopus,2,2,true,ES.27,2014.0,605,ES,1,8,31,10,-7,7,9,21,21,41,34.710743801652896,-11.570247933884298
19,Subnational,Scopus,2,2,true,TR.03,2013.0,520,TR,1,1,18,33,0,0,2,-15,15,51,-28.846153846153847,0.0
20,Subnational,Scopus,2,2,true,FR.84,2006.0,11381,FR,302,276,326,241,26,26,578,85,85,567,7.4685879975397595,2.284509269835691
21,Subnational,Scopus,2,2,true,MX.14,2008.0,785,MX,9,9,33,20,0,0,18,13,13,53,16.56050955414013,0.0
22,Subnational,Scopus,2,2,true,IT.01,2018.0,1597,IT,22,20,42,43,2,2,42,-1,1,85,-0.6261740763932373,1.2523481527864746
23,Subnational,Scopus,2,2,true,BR.03,2020.0,74,BR,0,1,4,1,-1,1,1,3,3,5,40.54054054054054,-13.513513513513514
24,Subnational,Scopus,2,2,true,JP.31,1998.0,3302,JP,31,27,113,67,4,4,58,46,46,180,13.930950938824955,1.2113870381586918
25,Subnational,Scopus,2,2,true,NG.50,2015.0,339,NG,4,4,7,5,0,0,8,2,2,12,5.899705014749262,0.0
26,Subnational,Scopus,2,2,true,ES.59,2006.0,2849,ES,32,31,40,46,1,1,63,-6,6,86,-2.106002106002106,0.351000351000351
27,Subnational,Scopus,2,2,true,KR.21,2000.0,815,KR,10,1,19,16,9,9,11,3,3,35,3.6809815950920246,11.042944785276074
28,Subnational,Scopus,2,2,true,JP.25,2007.0,790,JP,1,7,24,22,-6,6,8,2,2,46,2.5316455696202533,-7.594936708860759
29,Subnational,Scopus,2,2,true,KR.13,2011.0,6693,KR,54,26,323,234,28,28,80,89,89,557,13.29747497385328,4.183475272672942
30,Subnational,Scopus,2,2,true,TH.12,2009.0,285,TH,14,2,21,3,12,12,16,18,18,24,63.1578947368421,42.10526315789474
31,Subnational,Scopus,2,2,true,SE.22,2001.0,109,SE,2,1,4,3,1,1,3,1,1,7,9.174311926605505,9.174311926605505
32,Subnational,Scopus,2,2,true,TR.60,2016.0,503,TR,3,3,24,28,0,0,6,-4,4,52,-7.952286282306163,0.0
33,Subnational,Scopus,2,2,true,PK.03,2011.0,1371,PK,34,34,31,21,0,0,68,10,10,52,7.293946024799417,0.0
34,Subnational,Scopus,2,2,true,GB.SCT,2010.0,20999,GB,524,591,533,501,-67,67,1115,32,32,1034,1.5238820896233154,-3.1906281251488164
35,Subnational,Scopus,2,2,true,CN.11,2010.0,20432,CN,58,60,253,309,-2,2,118,-56,56,562,-2.74079874706343,-0.09788566953797964
36,Subnational,Scopus,2,2,true,ES.59,2010.0,3963,ES,80,34,95,62,46,46,114,33,33,157,8.327024981074944,11.607368155437799
37,Subnational,Scopus,2,2,true,BR.17,2004.0,696,BR,2,1,12,20,1,1,3,-8,8,32,-11.494252873563218,1.4367816091954022
