row_number,project,authorship,backfill_years,min_pub_years,group_by_all,region,year,y_pop,country_iso_a2,in_y_flow_INT,out_y_flow_INT,in_y_flow_IN,out_y_flow_IN,net_y_flow_INT,abs_inout_INT,sum_inout_INT,net_y_flow_IN,abs_inout_IN,sum_inout_IN,nmr_IN,nmr_INT
25104,Subnational,OpenAlex,1,2,true,BR.04,2007.0,600,BR,19,13,60,45,6,6,32,15,15,105,25.0,10.0
25105,Subnational,OpenAlex,1,2,true,KR.19,2009.0,5174,KR,205,227,442,529,-22,22,432,-87,87,971,-16.814843448009277,-4.252029377657518
25106,Subnational,OpenAlex,1,2,true,NG.56,2016.0,111,NG,2,5,10,3,-3,3,7,7,7,13,63.06306306306306,-27.027027027027028
25107,Subnational,OpenAlex,1,2,true,JP.09,1999.0,1489,JP,27,46,204,241,-19,19,73,-37,37,445,-24.848891873740765,-12.760241773002015
25108,Subnational,OpenAlex,1,2,true,TR.46,2020.0,478,TR,6,8,54,51,-2,2,14,3,3,105,6.2761506276150625,-4.184100418410042
25109,Subnational,OpenAlex,1,2,true,CN.25,2018.0,18760,CN,401,274,2949,2757,127,127,675,192,192,5706,10.23454157782516,6.769722814498934
25110,Subnational,OpenAlex,1,2,true,PL.86,1998.0,1023,PL,34,34,34,35,0,0,68,-1,1,69,-0.9775171065493646,0.0
25111,Subnational,OpenAlex,1,2,true,IN.12,2000.0,103,IN,5,8,4,6,-3,3,13,-2,2,10,-19.41747572815534,-29.12621359223301
25112,Subnational,OpenAlex,1,2,true,BR.05,2020.0,7395,BR,172,140,1244,1032,32,32,312,212,212,2276,28.668018931710616,4.3272481406355645
25113,Subnational,OpenAlex,1,2,true,JP.31,2007.0,3338,JP,46,79,370,391,-33,33,125,-21,21,761,-6.291192330736968,-9.886159376872378
25114,Subnational,OpenAlex,1,2,true,TR.72,2016.0,41,TR,3,2,9,4,1,1,5,5,5,13,121.95121951219512,24.390243902439025
25115,Subnational,OpenAlex,1,2,true,US.WA,2016.0,16936,US,748,758,1651,1250,-10,10,1506,401,401,2901,23.67737364194615,-0.5904581955597543
25116,Subnational,OpenAlex,1,2,true,CL.11,2021.0,702,CL,65,63,37,37,2,2,128,0,0,74,0.0,2.849002849002849
25117,Subnational,OpenAlex,1,2,true,EG.06,2010.0,1129,EG,74,56,58,43,18,18,130,15,15,101,13.286093888396811,15.943312666076174
25118,Subnational,OpenAlex,1,2,true,DK.18,2018.0,5877,DK,297,260,199,261,37,37,557,-62,62,460,-10.549600136123873,6.2957291134932785
25119,Subnational,OpenAlex,1,2,true,CO.02,2010.0,2168,CO,247,207,82,115,40,40,454,-33,33,197,-15.22140221402214,18.45018450184502
25120,Subnational,OpenAlex,1,2,true,FR.52,1996.0,904,FR,36,4,37,26,32,32,40,11,11,63,12.168141592920353,35.39823008849557
