row_number,project,authorship,backfill_years,min_pub_years,group_by_all,region,year,y_pop,country_iso_a2,in_y_flow_INT,out_y_flow_INT,in_y_flow_IN,out_y_flow_IN,net_y_flow_INT,abs_inout_INT,sum_inout_INT,net_y_flow_IN,abs_inout_IN,sum_inout_IN,nmr_IN,nmr_INT
1,Subnational,OpenAlex,2,2,true,AR.13,2013.0,477,AR,22,38,32,29,-16,16,60,3,3,61,6.289308176100629,-33.542976939203356
2,Subnational,OpenAlex,2,2,true,US.IA,1979.0,1484,US,16,23,109,100,-7,7,39,9,9,209,6.064690026954178,-4.716981132075472
3,Subnational,OpenAlex,2,2,true,CO.33,2021.0,689,CO,54,55,52,35,-1,1,109,17,17,87,24.673439767779392,-1.4513788098693758
4,Subnational,OpenAlex,2,2,true,DZ.09,2022.0,366,DZ,8,13,9,5,-5,5,21,4,4,14,10.92896174863388,-13.66120218579235
5,Subnational,OpenAlex,2,2,true,US.FL,2010.0,24742,US,869,951,1803,1826,-82,82,1820,-23,23,3629,-0.9295934039285425,-3.3142025705278475
6,Subnational,OpenAlex,2,2,true,RU.66,2013.0,9657,RU,222,161,340,277,61,61,383,63,63,617,6.523765144454799,6.316661489075282
7,Subnational,OpenAlex,2,2,true,RU.71,2011.0,2164,RU,58,33,110,71,25,25,91,39,39,181,18.02218114602588,11.55268022181146
8,Subnational,OpenAlex,2,2,true,US.TN,2020.0,16192,US,472,506,1163,1141,-34,34,978,22,22,2304,1.358695652173913,-2.099802371541502
9,Subnational,OpenAlex,2,2,true,IT.18,2007.0,2053,IT,23,32,96,85,-9,9,55,11,11,181,5.358012664393571,-4.383828543594739
10,Subnational,OpenAlex,2,2,true,UA.25,2020.0,437,UA,10,4,15,3,6,6,14,12,12,18,27.45995423340961,13.729977116704806
11,Subnational,OpenAlex,2,2,true,MX.21,2017.0,1913,MX,106,105,76,61,1,1,211,15,15,137,7.841087297438579,0.5227391531625719
12,Subnational,OpenAlex,2,2,true,BR.15,2010.0,14489,BR,257,249,1055,1143,8,8,506,-88,88,2198,-6.073573055421354,0.5521430050383049
13,Subnational,OpenAlex,2,2,true,PE.12,2020.0,282,PE,40,15,14,7,25,25,55,7,7,21,24.822695035460992,88.65248226950355
14,Subnational,OpenAlex,2,2,true,JP.42,1986.0,135,JP,1,0,9,9,1,1,1,0,0,18,0.0,7.407407407407407
15,Subnational,OpenAlex,2,2,true,CN.04,2008.0,35960,CN,728,414,5614,5015,314,314,1142,599,599,10629,16.657397107897665,8.731924360400445
16,Subnational,OpenAlex,2,2,true,UA.07,2001.0,1060,UA,63,41,9,16,22,22,104,-7,7,25,-6.60377358490566,20.754716981132077
17,Subnational,OpenAlex,2,2,true,TR.41,2019.0,1642,TR,36,41,154,160,-5,5,77,-6,6,314,-3.6540803897685747,-3.045066991473812
18,Subnational,OpenAlex,2,2,true,IN.02,2004.0,704,IN,7,20,26,29,-13,13,27,-3,3,55,-4.261363636363637,-18.46590909090909
